TITLE,TOKENS,TOKENS-VAD,V-MED,A-MED,D-MED
Томос-тур не добавит Порошенко избирателей – Александр Дюков,"томос,тур,добавля,порошенк,избирател,александр,дюк",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
Верховная Рада утвердила антицерковное рейдерство. Теперь УПЦ будут лишать храмов законно,"верховн,рад,утвержда,антицерковн,рейдерств,упц,лиша,храм,закон","рад (0.573;0.402;0.358) ,лиша (0.271;0.591;0.340) ",0.422,0.496,0.349
Кипятком писались: Украинские селяне бросились целовать руки пьяному Порошенко,"кипяток,писа,украинск,селянин,броса,целова,рук,пьян,порошенк","броса (0.558;0.620;0.517) ,пьян (0.194;0.800;0.250) ",0.376,0.71,0.384
Лагере Порошенко считают,"лагер,порошенк,счита","лагер (0.622;0.617;0.594) ,счита (0.500;0.562;0.547) ",0.561,0.59,0.571
Верховная рада приняла закон о смене подчиненности украинских приходов,"верховн,рад,принима,закон,смен,подчинен,украинск,приход","рад (0.573;0.402;0.358) ,смен (0.490;0.480;0.528) ,подчинен (0.354;0.408;0.539) ",0.472,0.43,0.475
Парламент Украины поддержал законопроект о религиозных общинах,"парламент,украин,поддержива,законопроект,религиозн,общин","поддержива (0.708;0.471;0.569) ,законопроект (0.396;0.402;0.535) ",0.552,0.436,0.552
Якубин: Украинская власть поплатится за скандальный закон о церковном рейдерстве,"якубин,украинск,власт,поплат,скандальн,закон,церковн,рейдерств",скандальн (0.135;0.907;0.556) ,0.135,0.907,0.556
Верным патриарху Кириллу украинцам решили дать российские паспорта,"верн,патриарх,кирилл,украинец,реша,дава,российск,паспорт",верн (0.580;0.409;0.555) ,0.58,0.409,0.555
"В четверг Рада будет принимать антицерковный ""рейдерский закон"". Голосование может быть неожиданным","четверг,рад,принима,антицерковн,рейдерск,закон,голосован,моч,неожида","рад (0.573;0.402;0.358) ,моч (0.449;0.529;0.391) ,неожида (0.500;0.720;0.333) ",0.507,0.55,0.361
National Interest: Ставка Киева на Запад не оправдалась полностью,"national,interest,ставк,ки,запад,оправдыва,полност",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
В Госдуме предложили предоставлять гражданство России гонимым верующим УПЦ,"госдум,предлага,предоставля,гражданств,росс,гоним,вер,упц",предлага (0.750;0.745;0.596) ,0.75,0.745,0.596
Сторонники новой украинской церкви силой захватили храм УПЦ в Черниговской области,"сторонник,нов,украинск,церков,сил,захват,храм,упц,черниговск,област","нов (0.917;0.490;0.582) ,захват (0.357;0.650;0.537) ",0.637,0.57,0.559
Сторонники новой украинской церкви захватили храм УПЦ во Львовской области,"сторонник,нов,украинск,церков,захват,храм,упц,львовск,област","нов (0.917;0.490;0.582) ,захват (0.357;0.650;0.537) ",0.637,0.57,0.559
"Труп, привязанный к живому человеку - бывший священник УПЦ о создании ""новой церкви""","труп,привязыва,жив,человек,бывш,священник,упц,создан,нов,церков","труп (0.030;0.690;0.260) ,привязыва (0.398;0.462;0.448) ,бывш (0.250;0.520;0.306) ,нов (0.917;0.490;0.582) ",0.399,0.54,0.399
Сторонники новой украинской церкви силой захватили храм УПЦ в Черниговской области,"сторонник,нов,украинск,церков,сил,захват,храм,упц,черниговск,област","нов (0.917;0.490;0.582) ,захват (0.357;0.650;0.537) ",0.637,0.57,0.559
"В Борисполь привезли томос об автокефалии ""новой церкви"" Украины","бориспол,привоз,томос,автокефал,нов,церков,украин",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Томос-тур: пляски святого Порошенко,"томос,тур,пляск,свят,порошенк",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
"Местные администрации уличили в свозе бюджетников для ""томос-тура"" Порошенко","местн,администрац,улича,своз,бюджетник,томос,тур,порошенк","местн (0.500;0.509;0.552) ,тур (0.663;0.545;0.543) ",0.582,0.527,0.548
"Путин: Порошенко создает ""новую церквь"" с целью разделить Украину и Россию","путин,порошенк,создава,нов,церкв,цел,разделя,украин,росс","нов (0.917;0.490;0.582) ,цел (0.481;0.569;0.567) ,разделя (0.290;0.627;0.440) ",0.563,0.562,0.53
Путин назвал ПЦУ политическим проектом для разделения народов РФ и Украины,"путин,называ,пцу,политическ,проект,разделен,народ,рф,украин",разделен (0.271;0.623;0.391) ,0.271,0.623,0.391
Протоиерей Чаплин: Порошенко - орудие в руках разрушителей чуждой Западу цивилизации,"протоиер,чаплин,порошенк,оруд,рук,разрушител,чужд,запад,цивилизац",разрушител (0.083;0.830;0.543) ,0.083,0.83,0.543
"Путин назвал создание новой церкви на Украине ""опасным политиканством""","путин,называ,создан,нов,церков,украин,опасн,политиканств",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
День зависимости: куда заведет Украину константинопольский томос,"ден,зависим,завод,украин,константинопольск,томос","зависим (0.180;0.806;0.420) ,завод (0.312;0.410;0.161) ",0.246,0.608,0.29
"Автокефалия ПЦУ: ""Украина получила церковь мёртвых душ""","автокефал,пцу,украин,получа,церков,м,ртвы,душ",душ (0.490;0.413;0.397) ,0.49,0.413,0.397
Путин назвал церковную структуру Украины политпроектом разделения народов,"путин,называ,церковн,структур,украин,политпроект,разделен,народ",разделен (0.271;0.623;0.391) ,0.271,0.623,0.391
"Владимир Путин назвал создание новой Церкви на Украине ""опасным политиканством""","владимир,путин,называ,создан,нов,церков,украин,опасн,политиканств",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
"Интервью сербским изданиям ""Политика"" и ""Вечерние новости""","интерв,сербск,издан,политик,вечерн,новост",издан (0.542;0.455;0.564) ,0.542,0.455,0.564
Итоги недели: версии убийства в ЦАР и откровения хакера,"итог,недел,верс,убийств,цар,откровен,хакер","верс (0.604;0.423;0.538) ,убийств (0.083;0.941;0.525) ",0.343,0.682,0.532
Минкульт Украины хочет дискредитировать УПЦ слухами о пропаже икон,"минкульт,украин,хотет,дискредитирова,упц,слух,пропаж,икон","хотет (0.671;0.642;0.598) ,дискредитирова (0.075;0.529;0.355) ,слух (0.173;0.765;0.245) ",0.306,0.645,0.399
Украинцы потеряли томос,"украинец,потеря,томос",потеря (0.115;0.538;0.176) ,0.115,0.538,0.176
Братии Киево-Печерской лавры предложили перейти в ПЦУ,"брат,киев,печерск,лавр,предлага,переход,пцу","предлага (0.750;0.745;0.596) ,переход (0.605;0.561;0.558) ",0.677,0.653,0.577
Реалистичный взгляд на Россию из Грузии,"реалистичн,взгляд,росс,груз",груз (0.302;0.557;0.538) ,0.302,0.557,0.538
Порошенко озвучил свою цель на второй президентский срок,"порошенк,озвучива,сво,цел,втор,президентск,срок","цел (0.481;0.569;0.567) ,срок (0.406;0.769;0.411) ",0.444,0.669,0.489
Порошенко пообещал защиту сторонникам канонической церкви,"порошенк,пообеща,защит,сторонник,каноническ,церков",защит (0.663;0.451;0.582) ,0.663,0.451,0.582
Порошенко призвал неверующих в томос покаяться,"порошенк,призыва,невер,томос,покая",невер (0.188;0.409;0.373) ,0.188,0.409,0.373
Томос-тур в Луцке: Порошенко приехал в храм с опозданием,"томос,тур,луцк,порошенк,приезжа,храм,опоздан",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
"Порошенко обвинил УПЦ в создании ""пятой колонны""","порошенк,обвиня,упц,создан,пят,колон",обвиня (0.133;0.752;0.500) ,0.133,0.752,0.5
"Золотарев: После ""томос-тура"" клоуном на Украине стал Порошенко","золотар,томос,тур,клоун,украин,станов,порошенк","тур (0.663;0.545;0.543) ,клоун (0.650;0.598;0.300) ",0.657,0.572,0.421
"Томос об автокефалии ""новой церкви"" Украины привезли в Луцк","томос,автокефал,нов,церков,украин,привоз,луцк",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Луценко: Около 70 приходов перешло из Украинской православной церкви в ПЦУ,"луценк,окол,приход,переход,украинск,православн,церков,пцу",переход (0.605;0.561;0.558) ,0.605,0.561,0.558
Он лжец. Иерусалимский патриарх защитил Тимошенко от обвинений Ющенко,"лжец,иерусалимск,патриарх,защища,тимошенк,обвинен,ющенк","лжец (0.042;0.606;0.339) ,обвинен (0.073;0.718;0.564) ",0.057,0.662,0.452
В Раде требуют изменить закон о церквях,"рад,требова,изменя,закон,церков","рад (0.573;0.402;0.358) ,требова (0.398;0.439;0.560) ",0.485,0.42,0.459
Церковный закон на Украине позволит приходам избежать даления — эксперт,"церковн,закон,украин,позволя,приход,избега,дален,эксперт",позволя (0.698;0.429;0.538) ,0.698,0.429,0.538
В РПЦ посоветовали Порошенко сменить консультантов по церковной истории,"рпц,посоветова,порошенк,смен,консультант,церковн,истор",смен (0.490;0.480;0.528) ,0.49,0.48,0.528
Тимошенко оценила шансы Порошенко на выборах,"тимошенк,оценива,шанс,порошенк,выбор",шанс (0.833;0.551;0.525) ,0.833,0.551,0.525
"Непредсказуемые сроки. Лукашенко готовит Белоруссию к ""пробе на зуб""","непредсказуем,срок,лукашенк,готов,белорусс,проб,зуб","непредсказуем (0.429;0.769;0.515) ,срок (0.406;0.769;0.411) ,готов (0.847;0.500;0.412) ,зуб (0.510;0.470;0.408) ",0.548,0.627,0.436
Чем страшен томос. Национализм как украинская национальная религия,"страшн,томос,национализм,украинск,национальн,религ",страшн (0.156;0.846;0.472) ,0.156,0.846,0.472
"Опубликован текст томоса об автокефалии украинской ""новой церкви""","опубликовыва,текст,томос,автокефал,украинск,нов,церков",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Эксперт: текст томоса об автокефалии не говорит о создании поместной церкви на Украине,"эксперт,текст,томос,автокефал,говор,создан,поместн,церков,украин",говор (0.765;0.472;0.500) ,0.765,0.472,0.5
Константинопольский патриархат опубликовал томос об автокефалии новой церкви Украины,"константинопольск,патриархат,опубликовыва,томос,автокефал,нов,церков,украин",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
На Украине канонических православных священников изгоняют из храмов при помощи радикалов,"украин,каноническ,православн,священник,изгоня,храм,помощ,радика",помощ (0.796;0.491;0.541) ,0.796,0.491,0.541
Новая церковь Украины заявила,"нов,церков,украин,заявля",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Украинский эксперт: исчезновение УПЦ на Украине займёт более 5 лет,"украинск,эксперт,исчезновен,упц,украин,за,т,год",исчезновен (0.214;0.698;0.367) ,0.214,0.698,0.367
Чудо второго срока: Порошенко на выборы нужен религиозный конфликт,"чуд,втор,срок,порошенк,выбор,нужн,религиозн,конфликт","срок (0.406;0.769;0.411) ,конфликт (0.335;0.906;0.471) ",0.371,0.838,0.441
Неблагонадёжная Украина. Промышленные регионы смотрят на Киев с отвращением,"неблагонад,жна,украин,промышлен,регион,смотрет,ки,отвращен","ки (0.521;0.433;0.484) ,отвращен (0.052;0.775;0.317) ",0.287,0.604,0.4
Глава администрации Порошенко усомнился в его будущей победе,"глав,администрац,порошенк,усомн,будущ,побед",глав (0.550;0.410;0.345) ,0.55,0.41,0.345
"У политтехнологов Банковой кризис жанра — Корнейчук о ""томос-туре"" Порошенко","политтехнолог,банков,кризис,жанр,корнейчук,томос,тур,порошенк","кризис (0.208;0.811;0.431) ,жанр (0.520;0.433;0.500) ,тур (0.663;0.545;0.543) ",0.464,0.596,0.491
Томос-тур Порошенко. Президент Украины в роли звезды эстрады,"томос,тур,порошенк,президент,украин,рол,звезд,эстрад","тур (0.663;0.545;0.543) ,звезд (0.833;0.418;0.560) ",0.748,0.482,0.552
Томос об автокефалии служит интересам Банковой — вице-спикер Рады,"томос,автокефал,служ,интерес,банков,виц,спикер,рад","виц (0.296;0.778;0.480) ,рад (0.573;0.402;0.358) ",0.434,0.59,0.419
"Русская православная церковь ответила на требование Порошенко ""показать свой томос""","русск,православн,церков,отвеча,требован,порошенк,показыва,сво,томос",отвеча (0.573;0.435;0.594) ,0.573,0.435,0.594
"Вице-спикер Рады обвинила Порошенко в ""безбожном"" использовании томоса для агитации","виц,спикер,рад,обвиня,порошенк,безбожн,использован,томос,агитац","виц (0.296;0.778;0.480) ,рад (0.573;0.402;0.358) ,обвиня (0.133;0.752;0.500) ,безбожн (0.316;0.557;0.358) ,агитац (0.240;0.931;0.447) ",0.312,0.684,0.429
РПЦ опасается за судьбу монахов канонической Украинской православной церкви,"рпц,опаса,судьб,мон,каноническ,украинск,православн,церков",опаса (0.406;0.592;0.431) ,0.406,0.592,0.431
Япония и США тренируются захватывать острова: Радио REGNUM,"япон,сша,тренирова,захватыва,остр,рад,regnum","япон (0.667;0.482;0.580) ,остр (0.427;0.652;0.534) ,рад (0.573;0.402;0.358) ",0.556,0.512,0.491
"Киев может ""насильно"" забирать церкви у УПЦ — эксперт","ки,моч,насильн,забира,церков,упц,эксперт","ки (0.521;0.433;0.484) ,моч (0.449;0.529;0.391) ",0.485,0.481,0.438
"На Украине появились рекламные щиты с ""церковной"" агитацией за Порошенко","украин,появля,рекламн,щит,церковн,агитац,порошенк",агитац (0.240;0.931;0.447) ,0.24,0.931,0.447
Дипломат обвинил Порошенко в томос-коррупции,"дипломат,обвиня,порошенк,томос,коррупц","обвиня (0.133;0.752;0.500) ,коррупц (0.052;0.830;0.549) ",0.092,0.791,0.524
"В Германии осудили угрозы посла США ввести санкции за ""Северный поток-2""","герман,осужда,угроз,посол,сша,ввод,санкц,северн,поток","санкц (0.201;0.750;0.517) ,поток (0.571;0.480;0.434) ",0.386,0.615,0.476
"Порошенко наградил трех митрополитов ""новой церкви"" Украины","порошенк,награжда,митропол,нов,церков,украин",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Порошенко подняли на смех за его обращение к РПЦ,"порошенк,подыма,смех,обращен,рпц","смех (0.980;0.639;0.587) ,обращен (0.663;0.598;0.558) ",0.822,0.619,0.573
В Волынской области раскольники захватили храм УПЦ,"волынск,област,раскольник,захват,храм,упц",захват (0.357;0.650;0.537) ,0.357,0.65,0.537
"В Сети высмеяли предвыборный ""томос-тур"" Порошенко","сет,высмеива,предвыборн,томос,тур,порошенк",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
Порт в Измаиле. Украина избавляется от своего самого ценного актива в Бессарабии,"порт,изма,украин,избавля,сво,цен,акт,бессараб",порт (0.173;0.469;0.370) ,0.173,0.469,0.37
В Московском патриархате ответили на призыв Порошенко показать томос РПЦ,"московск,патриархат,отвеча,приз,порошенк,показыва,томос,рпц",отвеча (0.573;0.435;0.594) ,0.573,0.435,0.594
"В Сети высмеяли ""томос-тур"" Порошенко по Украине","сет,высмеива,томос,тур,порошенк,украин",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
"Потребовавшего РПЦ ""показать томос"" Порошенко осадили","потребова,рпц,показыва,томос,порошенк,осажда",осажда (0.385;0.717;0.317) ,0.385,0.717,0.317
В РПЦ ответили на выпад Порошенко,"рпц,отвеча,выпад,порошенк",отвеча (0.573;0.435;0.594) ,0.573,0.435,0.594
"В РПЦ ответили на требование Порошенко ""показать томос""","рпц,отвеча,требован,порошенк,показыва,томос",отвеча (0.573;0.435;0.594) ,0.573,0.435,0.594
"В УПЦ МП ответили на требование Порошенко ""показать томос""","упц,мп,отвеча,требован,порошенк,показыва,томос",отвеча (0.573;0.435;0.594) ,0.573,0.435,0.594
Петр Порошенко хочет передать одну из древнейших церквей Спаса на Берестове Константинопольскому Патриархату,"петр,порошенк,хотет,передава,древн,церков,спас,берест,константинопольск,патриархат","хотет (0.671;0.642;0.598) ,спас (0.365;0.755;0.518) ",0.518,0.699,0.558
В РПЦ ответили на призыв Порошенко показать томос,"рпц,отвеча,приз,порошенк,показыва,томос",отвеча (0.573;0.435;0.594) ,0.573,0.435,0.594
Порошенко предложил РПЦ доказать каноничность и показать томос,"порошенк,предлага,рпц,доказыва,каноничн,показыва,томос","предлага (0.750;0.745;0.596) ,доказыва (0.583;0.520;0.566) ",0.666,0.633,0.581
Порошенко пытается мериться томосами,"порошенк,пыта,мер,томос",пыта (0.062;0.890;0.361) ,0.062,0.89,0.361
Порошенко поставил под вопрос каноничность РПЦ,"порошенк,поставля,вопрос,каноничн,рпц",вопрос (0.316;0.819;0.351) ,0.316,0.819,0.351
Националисты захватили православный храм на западе Украины,"националист,захват,православн,храм,запад,украин",захват (0.357;0.650;0.537) ,0.357,0.65,0.537
Порошенко предложил РПЦ доказать свою каноничность,"порошенк,предлага,рпц,доказыва,сво,каноничн","предлага (0.750;0.745;0.596) ,доказыва (0.583;0.520;0.566) ",0.666,0.633,0.581
Украинские раскольники захватили Свято-Михайловский храм,"украинск,раскольник,захват,свят,михайловск,храм",захват (0.357;0.650;0.537) ,0.357,0.65,0.537
За томос Константинополю отдадут храм с усыпальницей Юрия Долгорукого,"томос,константинопол,отдава,храм,усыпальниц,юр,долгорук",отдава (0.865;0.618;0.437) ,0.865,0.618,0.437
На западе Украины раскольники захватили храм УПЦ,"запад,украин,раскольник,захват,храм,упц",захват (0.357;0.650;0.537) ,0.357,0.65,0.537
Порошенко подверг сомнению каноничность РПЦ,"порошенк,подверга,сомнен,каноничн,рпц",подверга (0.471;0.661;0.509) ,0.471,0.661,0.509
Порошенко заявил о невозможности остановить Украину,"порошенк,заявля,невозможн,останавлива,украин",невозможн (0.170;0.625;0.306) ,0.17,0.625,0.306
Ради томоса Порошенко превратил храмы в разменную монету,"рад,томос,порошенк,превраща,храм,размен,монет","рад (0.573;0.402;0.358) ,превраща (0.448;0.469;0.451) ,монет (0.677;0.574;0.445) ",0.566,0.482,0.418
Храмы для Порошенко стали разменной монетой - депутат Госдумы,"храм,порошенк,станов,размен,монет,депутат,госдум",монет (0.677;0.574;0.445) ,0.677,0.574,0.445
Порошенко превратил храмы на Украине в разменную монету,"порошенк,превраща,храм,украин,размен,монет","превраща (0.448;0.469;0.451) ,монет (0.677;0.574;0.445) ",0.562,0.521,0.448
"В Госдуме Порошенко обвинили в ""сектантстве"" и ""бездуховности""","госдум,порошенк,обвиня,сектантств,бездуховн",обвиня (0.133;0.752;0.500) ,0.133,0.752,0.5
Петр Порошенко начал возить томос об автокефалии ПЦУ по Украине,"петр,порошенк,начина,воз,томос,автокефал,пцу,украин",начина (0.490;0.480;0.387) ,0.49,0.48,0.387
Порошенко прибыл в Винницу со своим томос-туром,"порошенк,прибыва,винниц,сво,томос,тур",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
Украинские СМИ сообщают о возможной передаче Константинополю храма в Киеве,"украинск,сми,сообща,возможн,передач,константинопол,храм,ки","сообща (0.418;0.442;0.567) ,передач (0.615;0.520;0.455) ,ки (0.521;0.433;0.484) ",0.518,0.465,0.502
Порошенко хочет передать Варфоломею храм,"порошенк,хотет,передава,варфолом,храм",хотет (0.671;0.642;0.598) ,0.671,0.642,0.598
СМИ: Порошенко отдаст Константинополю храм с могилой основателя Москвы,"сми,порошенк,отдава,константинопол,храм,мог,основател,москв",отдава (0.865;0.618;0.437) ,0.865,0.618,0.437
Порошенко отдаст Константинополю церковь с могилой основателя Москвы,"порошенк,отдава,константинопол,церков,мог,основател,москв",отдава (0.865;0.618;0.437) ,0.865,0.618,0.437
Константинополь назначил главу киевской ставропигии,"константинопол,назнача,глав,киевск,ставропиг",глав (0.550;0.410;0.345) ,0.55,0.41,0.345
Константинопольский патриархат назначил главу своей ставропигии в Киеве,"константинопольск,патриархат,назнача,глав,сво,ставропиг,ки","глав (0.550;0.410;0.345) ,ки (0.521;0.433;0.484) ",0.536,0.421,0.414
В РПЦ обвинили Порошенко в навязывании верующим ложных идей,"рпц,обвиня,порошенк,навязыван,вер,ложн,иде","обвиня (0.133;0.752;0.500) ,ложн (0.120;0.404;0.240) ",0.127,0.578,0.37
Пиррова победа: Киев получил томос,"пирр,побед,ки,получа,томос",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
После стольких лет жести: куда исчезла агрессия из западных СМИ,"стольк,год,жест,исчеза,агресс,западн,сми","жест (0.667;0.481;0.427) ,исчеза (0.143;0.441;0.350) ,агресс (0.094;0.929;0.533) ,западн (0.177;0.775;0.508) ",0.27,0.656,0.455
УПЦ против СЦУ: у кого больше независимости?,"упц,прот,сцу,больш,независим",независим (0.549;0.595;0.447) ,0.549,0.595,0.447
ЦИК Украины отказал в регистрации двум претендентам на пост президента,"цик,украин,отказыва,регистрац,претендент,пост,президент","отказыва (0.235;0.509;0.321) ,претендент (0.465;0.474;0.433) ",0.35,0.491,0.377
Порошенко не готов к экспромтам: на Волыни потеряли президента Украины,"порошенк,готов,экспромт,волын,потеря,президент,украин","готов (0.847;0.500;0.412) ,экспромт (0.541;0.729;0.415) ,потеря (0.115;0.538;0.176) ",0.501,0.589,0.334
"Кандидат в президенты Украины пристыдил Порошенко за ""томос-тур""","кандидат,президент,украин,пристыжа,порошенк,томос,тур",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
"Кандидат в президенты Украины Мураев пристыдил Порошенко из-за ""томос-тура""","кандидат,президент,украин,мура,пристыжа,порошенк,томос,тур",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
Президент Грузии поддержала позицию грузинской церкви по автокефалии Украины,"президент,груз,поддержива,позиц,грузинск,церков,автокефал,украин","груз (0.302;0.557;0.538) ,поддержива (0.708;0.471;0.569) ",0.505,0.514,0.553
Катастрофическое решение: раскол на Украине продлён и узаконен,"катастрофическ,решен,раскол,украин,продл,н,узаконива","катастрофическ (0.071;0.934;0.598) ,продл (0.573;0.567;0.535) ",0.322,0.75,0.567
Выборы 2019: Кого Галичина видит новым президентом Украины?,"выбор,галичин,видет,нов,президент,украин",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Президент Грузии не стала поздравлять Украину с автокефалией,"президент,груз,станов,поздравля,украин,автокефал",груз (0.302;0.557;0.538) ,0.302,0.557,0.538
Приключения томоса только начинаются,"приключен,томос,начина",начина (0.490;0.480;0.387) ,0.49,0.48,0.387
На Украине 47 приходов УПЦ перешли в ПЦУ,"украин,приход,упц,переход,пцу",переход (0.605;0.561;0.558) ,0.605,0.561,0.558
Золотарёв: Порошенко прикрывает предвыборные фальсификации при помощи томос-тура,"золотар,порошенк,прикрыва,предвыборн,фальсификац,помощ,томос,тур","фальсификац (0.173;0.720;0.490) ,помощ (0.796;0.491;0.541) ,тур (0.663;0.545;0.543) ",0.544,0.585,0.525
Украинских раскольников не признала большая часть православного мира — УПЦ,"украинск,раскольник,признава,больш,част,православн,мир,упц",част (0.594;0.481;0.525) ,0.594,0.481,0.525
Экзарх Константинополя на Украине: нельзя делать церковь заложницей чьих-то амбиций,"экзарх,константинопол,украин,дела,церков,заложниц,че,амбиц",дела (0.670;0.548;0.536) ,0.67,0.548,0.536
Украинцы потребовали у Порошенко узнать их мнение о переходе в неканоническую ПЦУ,"украинец,потребова,порошенк,узнава,мнен,переход,неканоническ,пцу",переход (0.605;0.561;0.558) ,0.605,0.561,0.558
По украинским лекалам. Националисты Белоруссии тоже хотят автокефалию,"украинск,лека,националист,белорусс,хотет,автокефал",хотет (0.671;0.642;0.598) ,0.671,0.642,0.598
Томос как священный артефакт политики Порошенко,"томос,священ,артефакт,политик,порошенк",артефакт (0.510;0.500;0.566) ,0.51,0.5,0.566
Сетевой креатив. Зеленский не шутит,"сетев,креат,зеленск,шут",шут (0.344;0.651;0.290) ,0.344,0.651,0.29
"Порошенко предложили опросить население о переходе в ""новую церковь""","порошенк,предлага,опрашива,населен,переход,нов,церков","предлага (0.750;0.745;0.596) ,переход (0.605;0.561;0.558) ,нов (0.917;0.490;0.582) ",0.757,0.599,0.579
Как делали,дела,дела (0.670;0.548;0.536) ,0.67,0.548,0.536
Порошенко призвали провести опрос о переходе церквей в ПЦУ,"порошенк,призыва,провод,опрос,переход,церков,пцу",переход (0.605;0.561;0.558) ,0.605,0.561,0.558
Помпео приветствовал автокефалию новой украинской церкви,"помпе,приветствова,автокефал,нов,украинск,церков",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Порошенко занят: президент Украины дал старт томос-туру,"порошенк,занима,президент,украин,дава,старт,томос,тур",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
Бортник: По результатам первой недели избирательной гонки можно говорить об основных ее участниках,"бортник,результат,перв,недел,избирательн,гонк,говор,основн,участник",говор (0.765;0.472;0.500) ,0.765,0.472,0.5
Томос раздора. Почему новая церковь на Украине похожа на политический проект,"томос,раздор,поч,нов,церков,украин,похож,политическ,проект",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
"Горячие головы Порошенко могут ""устранить конкурентов"" — эксперт","горяч,голов,порошенк,моч,устраня,конкурент,эксперт","горяч (0.490;0.740;0.573) ,моч (0.449;0.529;0.391) ",0.47,0.635,0.482
Бортник: На признание украинской автокефалии уйдут десятилетия,"бортник,признан,украинск,автокефал,уход,десятилет","признан (0.469;0.642;0.460) ,уход (0.500;0.760;0.368) ",0.484,0.701,0.414
Порошенко уличили в незаконном награждении раскольника Филарета,"порошенк,улича,незакон,награжден,раскольник,филарет",незакон (0.094;0.635;0.427) ,0.094,0.635,0.427
Блаженный Пётр-Томос Мальдивский – покровитель воров,"блажен,п,тр,томос,мальдивск,покровител,вор",вор (0.088;0.888;0.443) ,0.088,0.888,0.443
Томос вернули из Константинополя на Украину,"томос,вернут,константинопол,украин",вернут (0.602;0.412;0.463) ,0.602,0.412,0.463
"Порошенко сообщил о возвращении томоса об автокефалии ""новой церкви""","порошенк,сообща,возвращен,томос,автокефал,нов,церков","сообща (0.418;0.442;0.567) ,нов (0.917;0.490;0.582) ",0.667,0.466,0.575
Томос об автокефалии вернули из Стамбула на Украину,"томос,автокефал,вернут,стамбул,украин",вернут (0.602;0.412;0.463) ,0.602,0.412,0.463
Порошенко обещает не давить на священников УПЦ,"порошенк,обеща,дав,священник,упц",обеща (0.571;0.551;0.593) ,0.571,0.551,0.593
"Порошенко отправился в предвыборный ""томос-тур"" по Украине","порошенк,отправля,предвыборн,томос,тур,украин",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
"Константинополь не внес ""новую церковь"" Украины в список автокефалий на своем сайте","константинопол,внос,нов,церков,украин,список,автокефал,сво,сайт",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Томос об автокефалии новой украинской церкви вернулся из Стамбула на Украину,"томос,автокефал,нов,украинск,церков,вернут,стамбул,украин","нов (0.917;0.490;0.582) ,вернут (0.602;0.412;0.463) ",0.76,0.451,0.522
Холодомор. На Украине более 1000 человек пострадали от обморожений,"холодомор,украин,человек,пострада,обморожен",пострада (0.083;0.680;0.302) ,0.083,0.68,0.302
Дело старпома Новичкова. Петр Порошенко спас украинского моряка от виселицы,"дел,старп,новичк,петр,порошенк,спаса,украинск,моряк,виселиц",виселиц (0.167;0.712;0.422) ,0.167,0.712,0.422
Томос вернулся из Константинополя в Киев,"томос,вернут,константинопол,ки","вернут (0.602;0.412;0.463) ,ки (0.521;0.433;0.484) ",0.561,0.422,0.474
Предвыборный креатив: наружная реклама в Киеве в январе 2019 года. Фоторепортаж,"предвыборн,креат,наружн,реклам,ки,январ,год,фоторепортаж","реклам (0.600;0.566;0.539) ,ки (0.521;0.433;0.484) ",0.56,0.499,0.512
Всему свое время. Грузинская церковь не будет спешить с признанием ПЦУ,"сво,врем,грузинск,церков,спеш,признан,пцу","спеш (0.361;0.423;0.391) ,признан (0.469;0.642;0.460) ",0.415,0.532,0.425
Архиепископ Кипрский не поддержал автокефалию Украины,"архиепископ,кипрск,поддержива,автокефал,украин",поддержива (0.708;0.471;0.569) ,0.708,0.471,0.569
Готовятся отобрать лавру. На Украине разворачивается церковный передел,"готов,отбира,лавр,украин,разворачива,церковн,передел","готов (0.847;0.500;0.412) ,разворачива (0.604;0.491;0.557) ",0.726,0.495,0.485
"Украина. Как церковь потеряла ""фактическую автокефалию""","украин,церков,потеря,фактическ,автокефал",потеря (0.115;0.538;0.176) ,0.115,0.538,0.176
Глава Кипрской церкви опроверг заявление МИД Украины о поддержке автокефальной церкви,"глав,кипрск,церков,опроверга,заявлен,мид,украин,поддержк,автокефальн,церков",глав (0.550;0.410;0.345) ,0.55,0.41,0.345
